0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	18506	ΠΤΥΧΙΟ ΝΗΠΙΑΓΩΓΩΝ ΔΗΜΟΚΡΙΤΕΙΟΥ ΠΑΝ/ΜΙΟΥ ΘΡΑΚΗΣ	5
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374063	ΠΤΥΧΙΟ ΠΑΙΔΑΓΩΓΙΚΗΣ ΑΚΑΔΗΜΙΑΣ	5
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374116	ΠΤΥΧΙΟ ΝΗΠΙΑΓΩΓΩΝ	4
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374126	ΠΤΥΧΙΟ ΒΡΕΦ/ΚΟΜΟΥ	3
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374163	ΑΠΟΦΟΙΤΗΡΙΟ ΜΗΠΙΟΤΡΟΦΙΑΣ	3
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374178	ΠΤΥΧΙΟ ΠΑΙΔΑΓΩΓΙΚΩΝ ΣΠΟΥΔΩΝ	5
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374179	ΠΤΥΧΙΟ ΝΗΠΙΑΓΩΓΩΝ Α.Π.Θ.	5
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374268	ΠΤΥΧΙΟ ΤΕΛ ΒΡΕΦΟΝΗΠΙΟΚΟΜΩΝ	3
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374303	ΠΤΥΧΙΟ ΝΗΠΙΑΓΩΓΩΝ ΕΞΩΤΕΡΙΚΟΥ	3
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374335	ΠΤΥΧΙΟ ΠΑΙΔΑΓΩΓΙΚΟΥ ΤΜΗΜΑΤΟΣ ΠΑΝ/ΜΙΟΥ	5
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374417	ΠΤΥΧΙΟ ΤΕΛ ΒΟΗΘΟΥ ΒΡΕΦΟΚΟΜΟΥ	3
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374428	ΠΤΥΧΙΟ ΠΑΙΔΑΓΩΓΙΚΟΥ ΙΝΣΤΙΤΟΥΤΟΥ ΤΕΧΝΩΝ	5
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374447	ΠΤΥΧΙΟ ΒΡΕΦΟΝΗΠΙΟΚΟΜΙΑΣ ΤΕΙ	4
0	S	ΒΡΕΦΟΝΗΠΙΟΚΟΜΟΙ, ΝΗΠΙΑΓΩΓΟΙ, ΠΑΙΔΑΓΩΓΟΙ	4374454	ΠΤΥΧΙΟ ΠΑΙΔΑΓΩΓΙΚΩΝ ΜΟΥΣΙΚΗΣ	3
0	S	ΓΡΑΜΜΑΤΕΩΝ	4374092	ΠΤΥΧΙΟ ΔΑΚΤΥΛΟΓΡΑΦΙΑΣ	3
0	S	ΓΡΑΜΜΑΤΕΩΝ	4374125	ΠΤΥΧΙΟ ΤΗΛ/ΤΟΥ ΣΧΟΛΗΣ ΤΥΦΛΩΝ	3
0	S	ΓΡΑΜΜΑΤΕΩΝ	4374136	ΑΠΟΔ. ΑΓΓΛΟΜΑΘΩΝ ΓΡΑΜΜΑΤΕΩΝ	3
0	S	ΓΡΑΜΜΑΤΕΩΝ	4374227	ΠΤΥΧΙΟ ΤΕΛ ΥΠΑΛΛΗΛΩΝ ΓΡΑΦΕΙΟΥ	3
0	S	ΓΥΜΝΑΣΤΕΣ	4374067	ΠΤΥΧΙΟ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ	5
0	S	ΓΥΜΝΑΣΤΕΣ	4374226	ΠΤΥΧΙΟ ΤΕΦΑΑ	5
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374073	ΠΤΥΧΙΟ ΦΑΡΜΑΚΕΥΤΙΚΗΣ ΣΧΟΛΗΣ	5
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374229	ΠΤΥΧΙΟ ΝΟΣΗΛΕΥΤΙΚΗΣ ΤΕΙ	4
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374241	ΠΤΥΧΙΟ ΝΟΣΗΛΕΥΤΚΗΣ Μ Τ Σ	3
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374280	ΠΤΥΧΙΟ ΚΤΗΝΙΑΤΡΙΚΗΣ	5
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374281	ΠΤΥΧΙΟ ΨΥΧΟΛΟΓΙΑΣ	5
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374283	ΠΤΥΧΙΟ ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ	5
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374284	ΑΔΕΛΦΩΝ ΝΟΣΟΚ/ΜΩΝ ΚΑΤΕΕ	4
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374356	ΠΤΥΧΙΟ ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ ΕΠΑΓΓΕΛΜΑΤΩΝ ΥΓΕΣ	4
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374357	ΠΤΥΧΙΟ ΙΑΤΡΙΚΩΝ ΕΡΓΑΣΤΗΡΙΩΝ  ΤΕΙ	4
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374411	ΕΙΔΙΚΟΤΗΤΑ ΠΑΘΟΛΟΓΟΥ	5
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374412	ΑΔΕΙΑ ΑΣΚΗΣΗΣ ΙΑΤΡΙΚΟΥ ΕΠΑΓΓΕΛΜΑΤΟΣ	3
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374414	ΠΤΥΧΙΟ ΜΑΙΕΥΤΙΚΗΣ ΤΕΙ	4
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374416	ΠΤΥΧΙΟ ΙΑΤΡΙΚΗΣ	5
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	4374419	ΠΤΥΧΙΟ ΕΠΙΣΚΕΠΤΩΝ ΥΓΕΙΑΣ ΤΕΙ	4
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	822	ΠΤΥΧΙΟ ΕΠΑΛ ΒΟΗΘΩΝ ΝΟΣΗΛΕΥΤΩΝ	3
0	S	ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ	29526	ΠΤΥΧΙΟ ΑΕΙ ΝΟΣΗΛΕΥΤΙΚΗΣ Δ.Π.	5
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	4374182	ΠΤΥΧΙΟ ΑΝΩΤΕΡΟΥ ΕΚΚΛ/ΚΟΥ  ΦΡΟΝΤΙΣΤΗΡΙΟΥ	4
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	4374192	ΠΤΥΧΙΟ ΘΕΟΛΟΓΙΑΣ ΑΠΘ	5
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	4374277	ΑΝΩΤΕΡΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΣΧΟΛΗ ΑΘΗΝΩΝ	4
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	4374307	ΜΕΤΑΠΤΥΧΙΑΚΟ ΘΕΟΛΟΓΙΚΗΣ ΣΧΟΛΗΣ	6
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	4374312	ΠΤΥΧΙΟ ΠΟΙΜΑΝΤΙΚΗΣ ΚΑΙ ΚΟΙΝ/ΚΗΣ ΘΕΟΛΟΓΙΣ	5
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	4374383	ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΘΕΣ/ΝΙΚΗΣ	5
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	4374458	ΠΤΥΧΙΟ ΘΕΟΛΟΓΙΑΣ	5
0	S	ΘΕΟΛΟΓΙΚΕΣ ΣΠΟΥΔΕΣ	702	ΑΝΩΤΕΡΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΣΧΟΛΗ ΘΕΣΣΑΛΟΝΙΚΗΣ	4
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374037	ΠΤΥΧΙΟ  ΓΕΩΠΟΝΙΑΣ	5
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374089	ΠΤΥΧΙΟ ΑΝΩΤΕΡΑΣ ΓΕΩΠΟΝΙΚΗΣ ΣΧΟΛΗΣ	4
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374101	ΠΙΣΤ/ΚΟ ΙΝΣΤΙΤΟΥΤΟΥ ΓΕΩΠΟΝΙΚΩΝ ΕΠΙΣΤΗΜΩΝ	3
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374102	ΠΤΥΧΙΟ ΤΕΧΝΙΚΗΣ ΣΧΟΛΗΣ ΔΑΣΙΚΟΥ ΚΛΑΔΟΥ	3
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374128	ΠΤΥΧΙΟ ΓΕΩΛΟΓΙΑΣ	5
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374129	ΠΤΥΧΙΟ ΦΥΣΙΚΟΜΑΘΗΜΑΤΙΚΗΣ	5
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374194	ΜΕΤΑΠΤΥΧΙΑΚΟ ΗΛ/ΚΗΣ ΦΥΣΙΚΗΣ Α.Π.Θ.	6
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374200	ΠΤΥΧΙΟ ΧΗΜΙΚΟΥ	5
0	S	ΘΕΤΙΚΕΣ ΕΠΙΣΤΗΜΕΣ	4374214	ΠΤΥΧΙΟ ΒΙΟΛΟΓΙΑΣ ΑΠΘ	5
